order_id,date,region,category,segment,channel,unit_price,quantity,discount,revenue,profit,year,month,quarter,profit_margin
ORD-00001,2021-01-01 00:00:00.000000,North America,Clothing,Home Office,Online,190.48,5,0.1,857.15,301.47,2021,1,1,0.3517
ORD-00002,2021-01-01 07:00:33.846769,North America,Sports & Outdoors,Corporate,Online,196.01,7,0.1,1234.84,345.21,2021,1,1,0.2796
ORD-00003,2021-01-01 14:01:07.693538,Europe,Sports & Outdoors,Corporate,Mobile App,72.6,8,0.15,493.69,149.87,2021,1,1,0.3036
ORD-00004,2021-01-01 21:01:41.540308,Asia-Pacific,Sports & Outdoors,Home Office,Mobile App,208.89,1,0.15,177.56,63.87,2021,1,1,0.3597
ORD-00005,2021-01-02 04:02:15.387077,North America,Sports & Outdoors,Consumer,In-Store,225.61,8,0.25,1353.68,727.93,2021,1,1,0.5377
ORD-00006,2021-01-02 11:02:49.233846,Europe,Clothing,Corporate,In-Store,84.31,11,0.15,788.34,261.99,2021,1,1,0.3323
ORD-00007,2021-01-02 18:03:23.080616,Latin America,Home & Garden,Home Office,Mobile App,140.02,7,0.0,980.15,517.58,2021,1,1,0.5281
ORD-00008,2021-01-03 01:03:56.927385,Asia-Pacific,Clothing,Home Office,In-Store,60.21,11,0.0,662.31,201.61,2021,1,1,0.3044
ORD-00009,2021-01-03 08:04:30.774154,Latin America,Food & Beverage,Corporate,Mobile App,41.65,12,0.05,474.76,256.82,2021,1,1,0.5409
ORD-00010,2021-01-03 15:05:04.620924,Europe,Clothing,Consumer,Mobile App,147.7,12,0.1,1595.19,539.3,2021,1,1,0.3381
ORD-00011,2021-01-03 22:05:38.467693,North America,Food & Beverage,Consumer,In-Store,36.55,2,0.1,65.79,28.94,2021,1,1,0.4399
ORD-00012,2021-01-04 05:06:12.314462,Asia-Pacific,Food & Beverage,Corporate,In-Store,17.98,2,0.0,35.96,9.74,2021,1,1,0.2709
ORD-00013,2021-01-04 12:06:46.161232,Europe,Electronics,Home Office,Online,529.69,12,0.15,5402.84,1836.42,2021,1,1,0.3399
ORD-00014,2021-01-04 19:07:20.008001,North America,Home & Garden,Corporate,Online,168.76,6,0.0,1012.57,317.15,2021,1,1,0.3132
ORD-00015,2021-01-05 02:07:53.854770,North America,Electronics,Consumer,In-Store,734.72,3,0.2,1763.33,442.64,2021,1,1,0.251
ORD-00016,2021-01-05 09:08:27.701540,Europe,Clothing,Home Office,In-Store,149.41,1,0.05,141.94,42.16,2021,1,1,0.297
ORD-00017,2021-01-05 16:09:01.548309,North America,Electronics,Corporate,In-Store,280.61,8,0.0,2244.85,960.64,2021,1,1,0.4279
ORD-00018,2021-01-05 23:09:35.395079,North America,Clothing,Home Office,Online,115.16,7,0.0,806.12,295.83,2021,1,1,0.367
ORD-00019,2021-01-06 06:10:09.241848,North America,Electronics,Consumer,In-Store,464.73,4,0.0,1858.9,867.68,2021,1,1,0.4668
ORD-00020,2021-01-06 13:10:43.088617,North America,Sports & Outdoors,Consumer,Online,227.61,14,0.0,3186.6,1438.18,2021,1,1,0.4513
ORD-00021,2021-01-06 20:11:16.935387,Asia-Pacific,Clothing,Consumer,Online,97.58,1,0.1,87.83,43.02,2021,1,1,0.4898
ORD-00022,2021-01-07 03:11:50.782156,Europe,Clothing,Corporate,Online,56.02,2,0.0,112.04,57.15,2021,1,1,0.5101
ORD-00023,2021-01-07 10:12:24.628925,Asia-Pacific,Clothing,Home Office,Online,46.64,9,0.15,356.79,176.95,2021,1,1,0.4959
ORD-00024,2021-01-07 17:12:58.475695,North America,Food & Beverage,Corporate,Mobile App,36.08,4,0.0,144.31,55.48,2021,1,1,0.3845
ORD-00025,2021-01-08 00:13:32.322464,North America,Home & Garden,Corporate,In-Store,102.93,3,0.0,308.79,105.8,2021,1,1,0.3426
ORD-00026,2021-01-08 07:14:06.169233,Europe,Food & Beverage,Corporate,In-Store,62.99,8,0.15,428.3,171.62,2021,1,1,0.4007
ORD-00027,2021-01-08 14:14:40.016003,Europe,Home & Garden,Corporate,Mobile App,263.27,4,0.05,1000.43,410.72,2021,1,1,0.4105
ORD-00028,2021-01-08 21:15:13.862772,Europe,Sports & Outdoors,Home Office,In-Store,106.89,7,0.05,710.79,244.48,2021,1,1,0.344
ORD-00029,2021-01-09 04:15:47.709541,Europe,Sports & Outdoors,Home Office,Online,157.28,13,0.0,2044.64,842.4,2021,1,1,0.412
