order_id,date,region,category,segment,channel,unit_price,quantity,discount,revenue,profit,profit_margin,discount_pct,margin_pct
ORD-01502,2022-03-15 09:06:44.000800,Asia-Pacific,Clothing,Corporate,In-Store,184.67,10,0.05,1754.4,750.79,0.4279,5.0,42.79
ORD-02587,2023-01-26 06:18:47.745549,Latin America,Food & Beverage,Consumer,In-Store,39.11,9,0.0,352.01,93.98,0.267,0.0,26.7
ORD-02654,2023-02-14 19:56:35.479095,Europe,Home & Garden,Corporate,In-Store,292.36,13,0.0,3800.71,1540.58,0.4053,0.0,40.53
ORD-01056,2021-11-05 02:55:08.341668,North America,Home & Garden,Consumer,In-Store,93.51,10,0.0,935.13,365.39,0.3907,0.0,39.07
ORD-00706,2021-07-25 21:37:41.972394,Middle East & Africa,Food & Beverage,Corporate,In-Store,85.23,6,0.15,434.67,118.92,0.2736,15.0,27.36
ORD-00107,2021-01-31 22:59:47.757551,Asia-Pacific,Clothing,Home Office,Online,136.74,6,0.1,738.37,200.46,0.2715,10.0,27.15
ORD-00590,2021-06-22 00:32:15.747149,Europe,Sports & Outdoors,Corporate,In-Store,202.09,14,0.0,2829.24,1168.18,0.4129,0.0,41.29
ORD-02469,2022-12-22 19:12:13.826765,North America,Electronics,Corporate,Online,287.02,10,0.2,2296.15,621.15,0.2705,20.0,27.05
ORD-02414,2022-12-06 17:41:12.254450,North America,Home & Garden,Corporate,In-Store,246.2,3,0.2,590.88,275.07,0.4655,20.0,46.55
ORD-01601,2022-04-13 07:02:34.830966,Asia-Pacific,Home & Garden,Corporate,Online,290.86,13,0.0,3781.16,1221.56,0.3231,0.0,32.31
ORD-02465,2022-12-21 15:09:58.439687,Asia-Pacific,Electronics,Home Office,Mobile App,1117.98,2,0.0,2235.95,1135.57,0.5079,0.0,50.79
ORD-00229,2021-03-08 14:08:37.063412,North America,Home & Garden,Home Office,Mobile App,238.1,5,0.05,1130.96,552.57,0.4886,5.0,48.86
ORD-00916,2021-09-25 05:36:09.793958,North America,Home & Garden,Consumer,Online,277.55,14,0.15,3302.81,1049.04,0.3176,15.0,31.76
ORD-00795,2021-08-20 21:27:54.334866,Europe,Electronics,Home Office,Online,828.98,1,0.25,621.74,161.71,0.2601,25.0,26.01
ORD-03022,2023-06-02 07:24:11.090218,North America,Food & Beverage,Consumer,Online,86.96,12,0.0,1043.5,287.46,0.2755,0.0,27.55
ORD-03544,2023-11-01 18:18:39.103820,Europe,Clothing,Consumer,Mobile App,91.85,3,0.05,261.78,119.38,0.456,5.0,45.6
ORD-01074,2021-11-10 09:05:17.583516,Asia-Pacific,Clothing,Consumer,Mobile App,186.83,4,0.05,709.96,253.6,0.3572,5.0,35.72
ORD-03352,2023-09-06 16:30:20.524104,North America,Clothing,Home Office,Online,153.95,9,0.05,1316.24,618.44,0.4699,5.0,46.99
ORD-01745,2022-05-25 08:23:48.765753,Europe,Home & Garden,Corporate,Mobile App,265.84,6,0.0,1595.01,463.67,0.2907,0.0,29.07
ORD-01085,2021-11-13 14:11:29.897979,North America,Food & Beverage,Consumer,In-Store,33.69,1,0.1,30.32,10.89,0.3592,10.0,35.92
ORD-00927,2021-09-28 10:42:22.108421,North America,Clothing,Home Office,Online,181.24,12,0.05,2066.09,586.17,0.2837,5.0,28.37
ORD-03050,2023-06-10 11:39:58.799759,Europe,Food & Beverage,Home Office,Mobile App,85.59,11,0.1,847.36,268.19,0.3165,10.0,31.65
ORD-01118,2021-11-23 05:30:06.841368,Asia-Pacific,Sports & Outdoors,Consumer,Mobile App,156.46,12,0.25,1408.1,700.53,0.4975,25.0,49.75
ORD-00643,2021-07-07 12:02:09.625925,Middle East & Africa,Food & Beverage,Home Office,Online,80.62,5,0.05,382.92,158.12,0.4129,5.0,41.29
ORD-04768,2024-10-24 05:49:07.549509,North America,Food & Beverage,Home Office,Mobile App,36.67,9,0.0,330.01,97.12,0.2943,0.0,29.43
ORD-00502,2021-05-27 07:42:37.231446,North America,Electronics,Home Office,Mobile App,806.38,6,0.0,4838.3,2545.37,0.5261,0.0,52.61
ORD-04067,2024-04-02 12:13:40.964192,Europe,Food & Beverage,Corporate,Online,30.95,7,0.05,205.8,94.96,0.4614,5.0,46.14
ORD-00334,2021-04-08 06:07:50.974194,North America,Clothing,Corporate,Mobile App,183.93,2,0.1,331.07,146.69,0.4431,10.0,44.31
ORD-04685,2024-09-30 00:02:18.267653,North America,Sports & Outdoors,Corporate,In-Store,68.84,9,0.15,526.66,252.47,0.4794,15.0,47.94
ORD-00487,2021-05-22 22:34:09.529905,Middle East & Africa,Food & Beverage,Corporate,In-Store,27.66,13,0.05,341.54,100.23,0.2935,5.0,29.35
ORD-01963,2022-07-28 00:26:47.361472,North America,Clothing,Home Office,Mobile App,141.56,5,0.0,707.81,245.71,0.3471,0.0,34.71
ORD-00394,2021-04-25 18:41:41.780356,Latin America,Food & Beverage,Consumer,Mobile App,42.19,8,0.0,337.48,128.64,0.3812,0.0,38.12
ORD-04843,2024-11-15 03:31:26.057211,Europe,Sports & Outdoors,Corporate,In-Store,51.78,8,0.0,414.23,153.34,0.3702,0.0,37.02
ORD-04867,2024-11-22 03:44:58.379675,North America,Sports & Outdoors,Corporate,In-Store,178.8,10,0.05,1698.59,546.1,0.3215,5.0,32.15
ORD-01756,2022-05-28 13:30:01.080216,Europe,Sports & Outdoors,Corporate,Mobile App,141.62,12,0.0,1699.39,630.37,0.3709,0.0,37.09
ORD-02516,2023-01-05 12:38:44.624924,North America,Food & Beverage,Consumer,Online,18.3,8,0.1,131.76,49.04,0.3722,10.0,37.22
ORD-03586,2023-11-14 00:42:20.668133,North America,Home & Garden,Corporate,Mobile App,173.31,9,0.05,1481.84,672.1,0.4536,5.0,45.36
ORD-04316,2024-06-14 05:34:08.809761,Europe,Sports & Outdoors,Corporate,Online,230.65,1,0.0,230.65,107.26,0.465,0.0,46.5
ORD-04967,2024-12-21 08:41:23.056611,Europe,Electronics,Consumer,In-Store,252.21,9,0.0,2269.87,915.3,0.4032,0.0,40.32
ORD-02100,2022-09-06 00:44:04.368873,North America,Electronics,Home Office,Mobile App,359.1,9,0.05,3070.32,776.94,0.253,5.0,25.3
ORD-03600,2023-11-18 02:50:14.522904,Asia-Pacific,Food & Beverage,Home Office,In-Store,48.14,8,0.0,385.13,99.59,0.2586,0.0,25.86
ORD-04122,2024-04-18 13:44:42.536507,North America,Electronics,Home Office,In-Store,1120.9,2,0.0,2241.8,933.79,0.4165,0.0,41.65
ORD-00030,2021-01-09 11:16:21.556311,Latin America,Home & Garden,Corporate,Mobile App,235.27,14,0.0,3293.83,927.98,0.2817,0.0,28.17
ORD-00066,2021-01-19 23:36:40.040008,Asia-Pacific,Home & Garden,Home Office,Online,212.05,12,0.1,2290.11,1065.28,0.4652,10.0,46.52
ORD-00839,2021-09-02 17:52:43.592718,North America,Food & Beverage,Home Office,In-Store,63.98,1,0.15,54.38,17.79,0.3271,15.0,32.71
ORD-03907,2024-02-15 18:43:25.481096,Europe,Electronics,Consumer,In-Store,713.22,5,0.0,3566.1,1444.68,0.4051,0.0,40.51
ORD-03774,2024-01-07 22:28:23.860772,Europe,Clothing,Corporate,Mobile App,60.14,1,0.05,57.14,29.46,0.5156,5.0,51.56
ORD-04636,2024-09-15 16:34:39.775955,Middle East & Africa,Electronics,Consumer,In-Store,302.42,12,0.0,3629.08,1689.14,0.4654,0.0,46.54
ORD-03162,2023-07-13 04:43:09.637927,Europe,Electronics,Corporate,Online,697.09,9,0.1,5646.4,2132.63,0.3777,10.0,37.77
ORD-02660,2023-02-16 13:59:58.559711,Asia-Pacific,Food & Beverage,Corporate,In-Store,31.48,11,0.0,346.27,155.14,0.448,0.0,44.8
ORD-04616,2024-09-09 20:23:22.840568,Europe,Electronics,Corporate,Mobile App,291.5,5,0.0,1457.48,673.74,0.4623,0.0,46.23
ORD-04629,2024-09-13 15:30:42.848569,Middle East & Africa,Electronics,Home Office,Mobile App,677.93,10,0.1,6101.39,2268.99,0.3719,10.0,37.19
ORD-02452,2022-12-17 20:02:38.431686,Asia-Pacific,Clothing,Consumer,Mobile App,189.57,12,0.0,2274.81,678.77,0.2984,0.0,29.84
ORD-02847,2023-04-12 04:45:27.905581,Latin America,Clothing,Home Office,Mobile App,171.12,6,0.25,770.06,416.27,0.5406,25.0,54.06
ORD-01145,2021-12-01 02:45:20.704140,Middle East & Africa,Food & Beverage,Corporate,Online,50.18,8,0.1,361.32,120.87,0.3345,10.0,33.45
ORD-03079,2023-06-18 22:56:20.356071,North America,Clothing,Consumer,In-Store,43.07,11,0.1,426.35,204.62,0.4799,10.0,47.99
ORD-01104,2021-11-19 03:22:12.986597,Europe,Electronics,Corporate,Online,447.36,1,0.05,424.99,164.57,0.3872,5.0,38.72
ORD-00169,2021-02-19 01:34:46.257251,North America,Food & Beverage,Consumer,Mobile App,26.42,6,0.0,158.52,43.46,0.2742,0.0,27.42
ORD-01671,2022-05-03 17:42:04.104820,Asia-Pacific,Food & Beverage,Home Office,In-Store,76.81,12,0.15,783.48,238.09,0.3039,15.0,30.39
ORD-02571,2023-01-21 14:09:46.197239,North America,Clothing,Home Office,In-Store,178.75,5,0.0,893.77,306.81,0.3433,0.0,34.33
ORD-02378,2022-11-26 05:20:53.770754,North America,Clothing,Consumer,In-Store,167.3,9,0.05,1430.38,543.53,0.38,5.0,38.0
ORD-04396,2024-07-07 14:19:16.551310,North America,Electronics,Corporate,Online,405.52,2,0.05,770.49,414.32,0.5377,5.0,53.77
ORD-04258,2024-05-28 07:01:25.697139,North America,Clothing,Home Office,Mobile App,185.48,6,0.05,1057.25,411.99,0.3897,5.0,38.97
ORD-03863,2024-02-02 22:18:36.223244,Latin America,Food & Beverage,Consumer,Online,39.54,7,0.0,276.8,144.71,0.5228,0.0,52.28
ORD-00024,2021-01-07 17:12:58.475695,North America,Food & Beverage,Corporate,Mobile App,36.08,4,0.0,144.31,55.48,0.3845,0.0,38.45
ORD-02634,2023-02-08 23:45:18.543708,Europe,Clothing,Corporate,Mobile App,84.33,6,0.05,480.68,176.45,0.3671,5.0,36.71
ORD-03341,2023-09-03 11:24:08.209641,Latin America,Sports & Outdoors,Corporate,Mobile App,137.08,9,0.2,986.97,496.92,0.5035,20.0,50.35
ORD-02216,2022-10-09 21:49:30.594118,North America,Food & Beverage,Corporate,Mobile App,83.76,10,0.2,670.07,214.02,0.3194,20.0,31.94
ORD-03683,2023-12-12 08:37:03.804760,North America,Clothing,Corporate,Online,85.17,6,0.05,485.46,153.63,0.3165,5.0,31.65
