segment,channel,year,orders,revenue,profit,avg_order_val,margin_pct
Consumer,In-Store,2021,150,252297.76,98665.66,1681.9850666666666,39.11
Consumer,In-Store,2022,138,211242.68,83012.49,1530.7440579710144,39.3
Consumer,In-Store,2023,137,236833.8,96089.35,1728.7138686131386,40.57
Consumer,In-Store,2024,117,196447.22,80609.98,1679.0360683760684,41.03
Consumer,Mobile App,2021,133,252474.03,103827.52,1898.300977443609,41.12
Consumer,Mobile App,2022,142,250036.5,94059.93,1760.8204225352113,37.62
Consumer,Mobile App,2023,149,264465.64,102385.02,1774.9371812080537,38.71
Consumer,Mobile App,2024,146,283387.55,116124.43000000001,1941.010616438356,40.98
Consumer,Online,2021,121,238808.93,94540.54,1973.627520661157,39.59
Consumer,Online,2022,151,301660.29,125890.31,1997.7502649006622,41.73
Consumer,Online,2023,128,199627.24,77948.52,1559.5878125,39.05
Consumer,Online,2024,119,205322.32,81667.94,1725.3976470588236,39.78
Corporate,In-Store,2021,144,245294.22,95316.05,1703.4320833333334,38.86
Corporate,In-Store,2022,119,159947.51,64714.81,1344.0967226890757,40.46
Corporate,In-Store,2023,147,256677.24,103617.56999999999,1746.1036734693878,40.37
Corporate,In-Store,2024,151,263542.17,103215.31,1745.31238410596,39.16
Corporate,Mobile App,2021,129,201421.14,80327.7,1561.4041860465118,39.88
Corporate,Mobile App,2022,142,273149.32,108830.97,1923.5867605633803,39.84
Corporate,Mobile App,2023,147,233476.83,88751.94,1588.2777551020408,38.01
Corporate,Mobile App,2024,151,282970.24,109779.81999999999,1873.9750993377484,38.8
Corporate,Online,2021,133,236917.27,91467.08,1781.3328571428572,38.61
Corporate,Online,2022,152,257613.8,102474.5,1694.8276315789474,39.78
Corporate,Online,2023,139,284094.0,115628.46,2043.841726618705,40.7
Corporate,Online,2024,135,234056.9,93835.27,1733.7548148148148,40.09
Home Office,In-Store,2021,153,240657.08,93655.63,1572.922091503268,38.92
Home Office,In-Store,2022,117,172797.05,70713.27,1476.8978632478631,40.92
Home Office,In-Store,2023,121,260956.68,98230.68,2156.666776859504,37.64
Home Office,In-Store,2024,139,250050.37,99474.74,1798.9235251798561,39.78
Home Office,Mobile App,2021,121,267652.76,108556.4,2212.006280991736,40.56
Home Office,Mobile App,2022,145,276569.55,106904.86,1907.3762068965516,38.65
Home Office,Mobile App,2023,137,215737.55,88933.29,1574.7266423357664,41.22
Home Office,Mobile App,2024,165,277818.77,110619.52,1683.7501212121213,39.82
Home Office,Online,2021,166,346796.25,135027.27,2089.134036144578,38.94
Home Office,Online,2022,144,282425.07,111419.13,1961.2852083333335,39.45
Home Office,Online,2023,145,244041.24,96293.95,1683.0430344827585,39.46
Home Office,Online,2024,127,241078.48,92768.69,1898.255748031496,38.48
